Name,Popularity,Album,Release,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Tempo,Instrumentalness,Valence,Duration
YO LE LLEGO,67,OASIS,2019-06-28,0.785,0.792,9,-4.695,0.0641,0.0104,155.036,0.0,0.528,249.6
CUIDAO POR AHÍ,65,OASIS,2019-06-28,0.845,0.813,4,-2.979,0.077,0.111,90.98,0.00241,0.586,198.32
QUE PRETENDES,78,OASIS,2019-06-28,0.639,0.791,10,-4.443,0.253,0.0275,92.603,0.0,0.939,222.347
LA CANCIÓN,84,OASIS,2019-06-28,0.754,0.646,7,-5.795,0.317,0.152,176.089,1.85e-05,0.429,242.573
UN PESO,76,OASIS,2019-06-28,0.627,0.675,5,-7.125,0.213,0.125,79.31,0.0,0.961,277.107
ODIO,67,OASIS,2019-06-28,0.74,0.698,6,-3.838,0.0388,0.215,139.99,0.0,0.529,270.4
COMO UN BEBÉ,72,OASIS,2019-06-28,0.825,0.807,6,-5.753,0.0949,0.0732,103.053,4.79e-06,0.816,218.827
NI BIEN NI MAL,75,X 100PRE,2018-12-23,0.826,0.449,5,-8.33,0.0674,0.556,128.028,1.85e-05,0.337,236.216
200 Mph,68,X 100PRE,2018-12-23,0.85,0.5,8,-6.708,0.0665,0.0139,160.02,0.000384,0.816,170.509
¿Quien Tu Eres?,66,X 100PRE,2018-12-23,0.727,0.58,2,-6.804,0.136,0.185,137.048,3.58e-06,0.325,159.229
Caro,71,X 100PRE,2018-12-23,0.651,0.575,0,-7.739,0.299,0.627,160.007,0.000202,0.248,229.456
Tenemos Que Hablar,66,X 100PRE,2018-12-23,0.855,0.512,11,-8.165,0.0534,0.146,146.075,0.000854,0.144,224.512
Otra Noche en Miami,78,X 100PRE,2018-12-23,0.514,0.646,1,-8.833,0.275,0.197,88.661,2.3e-05,0.297,233.128
Ser Bichote,65,X 100PRE,2018-12-23,0.785,0.626,4,-8.03,0.0675,0.158,154.946,4.6e-06,0.183,193.211
Si Estuviésemos Juntos,81,X 100PRE,2018-12-23,0.672,0.594,1,-6.813,0.0789,0.0626,171.854,5.14e-05,0.158,169.248
Solo de Mi,69,X 100PRE,2018-12-23,0.743,0.73,10,-4.314,0.125,0.287,179.972,8.1e-05,0.15,197.968
Cuando Perriabas,67,X 100PRE,2018-12-23,0.787,0.705,0,-7.582,0.0695,0.137,81.998,1.06e-06,0.499,188.654
La Romana,74,X 100PRE,2018-12-23,0.655,0.725,0,-5.497,0.188,0.0327,125.8,0.00264,0.326,300.579
Como Antes,70,X 100PRE,2018-12-23,0.767,0.379,0,-10.348,0.0385,0.668,103.956,0.000145,0.252,230.578
RLNDT,68,X 100PRE,2018-12-23,0.6,0.528,0,-6.554,0.0308,0.263,108.025,0.0,0.142,284.853
Estamos Bien,74,X 100PRE,2018-12-23,0.759,0.536,9,-6.663,0.173,0.821,119.883,4.57e-06,0.439,208.08
MIA,62,X 100PRE,2018-12-23,0.816,0.538,6,-6.354,0.0617,0.0142,97.054,0.000496,0.156,210.368
Hasta Que Dios Diga,77,Emmanuel,2020-05-29,0.691,0.765,8,-4.727,0.111,0.464,174.021,3.29e-06,0.855,246.0
